9649                      22	22.92	 7.33	  147.90	  326.22	VSimple
9649                      26	27.08	 8.67	  341.37	  349.46	TurboVbyte
9649                      26	27.08	 8.67	  319.69	  261.00	MaskedVByte
9649                      26	27.08	 8.67	  256.77	  240.77	SIMDPackFPF
9649                      26	27.08	 8.67	  259.31	  233.06	VbyteFPF
9649                      36	37.50	12.00	  113.58	  393.03	VarintG8IU
9649                      37	38.54	12.33	  315.88	  314.12	TurboPack
9649                      37	38.54	12.33	  312.30	  308.60	TurboPackV
9649                      37	38.54	12.33	  133.46	  291.76	TurboPFor
9649                      37	38.54	12.33	  315.89	  287.81	TurboFor
9649                      37	38.54	12.33	  316.24	  252.28	TurboForDA
9649                      37	38.54	12.33	  134.43	  252.18	TurboPForDA
9649                      42	43.75	14.00	   26.50	  164.04	lz4
9649                      96	100.00	32.00	  427.06	  426.57	Copy
